Block_Number,Transaction_Hash,Previous_Block_Hash,Batch_ID,Drug_ID,Drug_Name,Supplier_ID,Event_Type,Actor_Role,Actor_ID,Timestamp,Location,Quantity_Units,Unit_Price_INR,Verification_Status,Verified_By_Nodes,Consensus_pct,Smart_Contract_ID,Anomaly_Flag,Block_Size_KB,Price_Deviation_Score,Transaction_Frequency,Geographic_Inconsistency_Score,Quantity_Deviation_Score,Event_Time_Gap_Hours,Low_Consensus_Flag,Unverified_Flag,Anomaly_Label
1176,0xb34cfa3a9973a48d129236b4942c4fcedcddb696f5c16657d1396b748ec667b4,0xa42fafd10333fa87185e47482ccc75b4d8cdfb772c55f8ccc951e4c82af1ab2f,BAT000294,DRG0294,Progesterone 200mg,SUP015,Received,Distributor,ACT2489,2025-07-16,Hyderabad Depot,1743,1667.23,Verified,Node_Delhi|Node_Mumbai|Node_Hyderabad|Node_Chennai,80.0,SC-SUP015-DRG0294,No,7.15,0.0,1,2,0.0,48.0,0,0,0
1177,0xa56954f5af87d5481905c53e018b5e54b5f501c7f51b0eab423de216bfdc7e3f,0xb34cfa3a9973a48d129236b4942c4fcedcddb696f5c16657d1396b748ec667b4,BAT000295,DRG0295,Estradiol 1mg,SUP011,Production,Manufacturer,ACT5711,2025-09-11,Chennai Port,4615,11383.48,Verified,Node_Bengaluru|Node_Delhi|Node_Mumbai|Node_Hyderabad,80.0,SC-SUP011-DRG0295,No,2.34,0.0,1,3,0.0,0.0,0,0,0
1178,0x5ea14cd9f56c3dec8602d01f7f8165af277cc61480711b54261583c09d6febb7,0xa56954f5af87d5481905c53e018b5e54b5f501c7f51b0eab423de216bfdc7e3f,BAT000295,DRG0295,Estradiol 1mg,SUP011,Quality_Check,QC_Inspector,ACT3154,2025-09-13,Lucknow Store,4615,11383.48,Verified,Node_Mumbai|Node_Chennai|Node_Hyderabad|Node_Bengaluru|Node_Delhi,100.0,SC-SUP011-DRG0295,No,5.04,0.0,1,3,0.0,48.0,0,0,0
1179,0x56a0565ad2a2a8aa3a68d1fcfafa0d70d9bc0cc08b2e41324d7edf4bfd2e22bb,0x5ea14cd9f56c3dec8602d01f7f8165af277cc61480711b54261583c09d6febb7,BAT000295,DRG0295,Estradiol 1mg,SUP011,Dispatch,Logistics_Manager,ACT5337,2025-09-15,Hyderabad Depot,4615,11383.48,Verified,Node_Delhi|Node_Bengaluru|Node_Mumbai|Node_Chennai|Node_Hyderabad,100.0,SC-SUP011-DRG0295,No,2.9,0.0,1,3,0.0,48.0,0,0,0
1180,0x73c378d021facbfb9e55a5ccc5458e3eee89b35450a2181715a19bd8248ecaaf,0x56a0565ad2a2a8aa3a68d1fcfafa0d70d9bc0cc08b2e41324d7edf4bfd2e22bb,BAT000295,DRG0295,Estradiol 1mg,SUP011,Received,Distributor,ACT2909,2025-09-18,Kolkata Cold Chain,4615,11383.48,Verified,Node_Hyderabad|Node_Chennai|Node_Mumbai|Node_Delhi|Node_Bengaluru,100.0,SC-SUP011-DRG0295,No,4.76,0.0,3,3,0.0,72.0,0,0,0
1181,0xff8811b7300cfeba028bd59b5a5a8cf70253c80c9fee8de5cbb0d49c25cb2165,0x73c378d021facbfb9e55a5ccc5458e3eee89b35450a2181715a19bd8248ecaaf,BAT000296,DRG0296,Tamoxifen 20mg,SUP009,Production,Manufacturer,ACT7159,2025-06-20,Mumbai Warehouse,1589,1582.89,Verified,Node_Bengaluru|Node_Mumbai|Node_Chennai,60.0,SC-SUP009-DRG0296,No,5.89,0.0,2,2,0.0,0.0,1,0,0
1182,0x709d57c7acf46120cfac7389a158274d2b627069568b3801239a3b9b899ab543,0xff8811b7300cfeba028bd59b5a5a8cf70253c80c9fee8de5cbb0d49c25cb2165,BAT000296,DRG0296,Tamoxifen 20mg,SUP009,Quality_Check,QC_Inspector,ACT4890,2025-06-24,Pune Distribution,1589,1582.89,Verified,Node_Mumbai|Node_Delhi|Node_Hyderabad|Node_Chennai,80.0,SC-SUP009-DRG0296,No,6.47,0.0,1,2,0.0,96.0,0,0,0
1183,0x100ea2ad7b50ae63b3aa00f083868f9784f9b86f3f629bb470759ed1035b6596,0x709d57c7acf46120cfac7389a158274d2b627069568b3801239a3b9b899ab543,BAT000296,DRG0296,Tamoxifen 20mg,SUP009,Dispatch,Logistics_Manager,ACT7904,2025-06-29,Pune Distribution,1589,1582.89,Verified,Node_Hyderabad|Node_Delhi|Node_Chennai,60.0,SC-SUP009-DRG0296,No,2.26,0.0,2,2,0.0,120.0,1,0,0
1184,0x43fb7fa07b2095996b312e4419fc27214bc1fcfa5f974b7714c59f5e79f50c52,0x100ea2ad7b50ae63b3aa00f083868f9784f9b86f3f629bb470759ed1035b6596,BAT000296,DRG0296,Tamoxifen 20mg,SUP009,Received,Distributor,ACT8380,2025-07-02,Delhi Cold Hub,1589,1582.89,Verified,Node_Delhi|Node_Chennai|Node_Bengaluru|Node_Hyderabad,80.0,SC-SUP009-DRG0296,No,4.87,0.0,3,2,0.0,72.0,0,0,0
1185,0x0733f1f654e6ce17c918405a7bd186ae72a352eaa7cb4592072e903041abd54c,0x43fb7fa07b2095996b312e4419fc27214bc1fcfa5f974b7714c59f5e79f50c52,BAT000297,DRG0297,Anastrozole 1mg,SUP016,Production,Manufacturer,ACT9684,2024-11-02,Bengaluru Pharma Hub,1557,5899.89,Verified,Node_Delhi|Node_Mumbai|Node_Hyderabad,60.0,SC-SUP016-DRG0297,No,7.97,0.0,1,1,0.0,0.0,1,0,0
1186,0xb17e51274a9ee604400ddc98e88fe026ff593c2d5f52a98e4bde478b41c2cf4c,0x0733f1f654e6ce17c918405a7bd186ae72a352eaa7cb4592072e903041abd54c,BAT000297,DRG0297,Anastrozole 1mg,SUP016,Quality_Check,QC_Inspector,ACT1457,2024-11-03,Chennai Port,1557,5899.89,Verified,Node_Delhi|Node_Hyderabad|Node_Bengaluru|Node_Mumbai,80.0,SC-SUP016-DRG0297,No,7.49,0.0,1,1,0.0,24.0,0,0,0
1187,0x09475a15e74447d3a1daf516bc03be494bb900cdf72da32b9aa257e8c85f33d9,0xb17e51274a9ee604400ddc98e88fe026ff593c2d5f52a98e4bde478b41c2cf4c,BAT000297,DRG0297,Anastrozole 1mg,SUP016,Dispatch,Logistics_Manager,ACT5553,2024-11-06,Bengaluru Pharma Hub,1557,5899.89,Verified,Node_Mumbai|Node_Delhi|Node_Hyderabad|Node_Bengaluru,80.0,SC-SUP016-DRG0297,No,2.55,0.0,1,1,0.0,72.0,0,0,0
1188,0x8909c95347d23d217de234828ee5a5076ff3b086e63761cd6ce634b0fb389c72,0x09475a15e74447d3a1daf516bc03be494bb900cdf72da32b9aa257e8c85f33d9,BAT000297,DRG0297,Anastrozole 1mg,SUP016,Received,Distributor,ACT1430,2024-11-11,Bengaluru Pharma Hub,1557,5899.89,Verified,Node_Chennai|Node_Delhi|Node_Bengaluru|Node_Mumbai|Node_Hyderabad,100.0,SC-SUP016-DRG0297,No,4.23,0.0,1,1,0.0,120.0,0,0,0
1189,0xc2f4d45df2e4531d9300eec5fd2d208e033849d8b9f7308a901af9f4aa832d2d,0x8909c95347d23d217de234828ee5a5076ff3b086e63761cd6ce634b0fb389c72,BAT000298,DRG0298,Growth Hormone 4IU,SUP015,Production,Manufacturer,ACT6603,2024-07-05,Lucknow Store,2711,10651.61,Verified,Node_Delhi|Node_Chennai|Node_Bengaluru|Node_Hyderabad|Node_Mumbai,100.0,SC-SUP015-DRG0298,No,1.78,0.0,1,2,0.0,0.0,0,0,0
1190,0x59543795abb963a198f7b1e73d98ba676b94ce6d85ec3b78551a16baa7ec5e45,0xc2f4d45df2e4531d9300eec5fd2d208e033849d8b9f7308a901af9f4aa832d2d,BAT000298,DRG0298,Growth Hormone 4IU,SUP015,Quality_Check,QC_Inspector,ACT5390,2024-07-08,Bengaluru Pharma Hub,2711,10651.61,Verified,Node_Chennai|Node_Hyderabad|Node_Delhi|Node_Bengaluru,80.0,SC-SUP015-DRG0298,No,6.3,0.0,2,2,0.0,72.0,0,0,0
1191,0x7c8b33a1686fd292754552e28c2a2fdd634d36dabc7fef4c548149f64752ee54,0x59543795abb963a198f7b1e73d98ba676b94ce6d85ec3b78551a16baa7ec5e45,BAT000298,DRG0298,Growth Hormone 4IU,SUP015,Dispatch,Logistics_Manager,ACT4686,2024-07-13,Delhi Cold Hub,2711,10651.61,Verified,Node_Delhi|Node_Mumbai|Node_Hyderabad,60.0,SC-SUP015-DRG0298,No,5.28,0.0,2,2,0.0,120.0,1,0,0
1192,0x9b509c30df7752ab39d49cc14bd24176265ddc4bad62912e253edfdaf54d4529,0x7c8b33a1686fd292754552e28c2a2fdd634d36dabc7fef4c548149f64752ee54,BAT000298,DRG0298,Growth Hormone 4IU,SUP015,Received,Distributor,ACT9240,2024-07-18,Bengaluru Pharma Hub,2711,10651.61,Verified,Node_Hyderabad|Node_Chennai|Node_Delhi|Node_Bengaluru,80.0,SC-SUP015-DRG0298,No,6.7,0.0,2,2,0.0,120.0,0,0,0
1193,0x2b2642e3e7b90d9d84fa33fbebef209c43192d9c7e9508a080e6dadb14f7537d,0x9b509c30df7752ab39d49cc14bd24176265ddc4bad62912e253edfdaf54d4529,BAT000299,DRG0299,Methotrexate 2.5mg,SUP004,Production,Manufacturer,ACT6948,2024-08-13,Ahmedabad Hub,3792,10533.97,Verified,Node_Chennai|Node_Hyderabad|Node_Bengaluru,60.0,SC-SUP004-DRG0299,No,7.32,0.0,2,3,0.0,0.0,1,0,0
1194,0xc3293f9993541e9fdb82274313157f001dcd07cf627a0f1a7b62f1273d7969f3,0x2b2642e3e7b90d9d84fa33fbebef209c43192d9c7e9508a080e6dadb14f7537d,BAT000299,DRG0299,Methotrexate 2.5mg,SUP004,Quality_Check,QC_Inspector,ACT3132,2024-08-16,Pune Distribution,3792,10533.97,Verified,Node_Bengaluru|Node_Chennai|Node_Hyderabad|Node_Mumbai|Node_Delhi,100.0,SC-SUP004-DRG0299,No,1.65,0.0,1,3,0.0,72.0,0,0,0
1195,0x190572b0e0c49b40e4595e49f0e44f23d464bae2e48eb4cf92cb16b2e3c3a15c,0xc3293f9993541e9fdb82274313157f001dcd07cf627a0f1a7b62f1273d7969f3,BAT000299,DRG0299,Methotrexate 2.5mg,SUP004,Dispatch,Logistics_Manager,ACT5968,2024-08-17,Jaipur Depot,3792,10533.97,Verified,Node_Delhi|Node_Hyderabad|Node_Bengaluru,60.0,SC-SUP004-DRG0299,No,4.27,0.0,4,3,0.0,24.0,1,0,0
1196,0xa176e848c2d9b24a4d8d4fc77001793d5a831d5e90e585846225a61d8009becd,0x190572b0e0c49b40e4595e49f0e44f23d464bae2e48eb4cf92cb16b2e3c3a15c,BAT000299,DRG0299,Methotrexate 2.5mg,SUP004,Received,Distributor,ACT5346,2024-08-20,Kolkata Cold Chain,3792,10533.97,Verified,Node_Bengaluru|Node_Hyderabad|Node_Delhi,60.0,SC-SUP004-DRG0299,No,3.01,0.0,3,3,0.0,72.0,1,0,0
1197,0x1d44fbb2c005f61d6c0e1a86c84783e882352f18d140d39f05dd270cd3be0834,0xa176e848c2d9b24a4d8d4fc77001793d5a831d5e90e585846225a61d8009becd,BAT000300,DRG0300,Methotrexate 50mg Injection,SUP006,Production,Manufacturer,ACT8047,2024-09-14,Hyderabad Depot,2461,11028.8,Verified,Node_Bengaluru|Node_Delhi|Node_Mumbai|Node_Hyderabad,80.0,SC-SUP006-DRG0300,No,3.35,0.0,1,3,0.0,0.0,0,0,0
1198,0xe3019336445aeb13e8f9ac05f3cea8e20d37482981b90373156b3a4974de221a,0x1d44fbb2c005f61d6c0e1a86c84783e882352f18d140d39f05dd270cd3be0834,BAT000300,DRG0300,Methotrexate 50mg Injection,SUP006,Quality_Check,QC_Inspector,ACT4403,2024-09-15,Lucknow Store,2461,11028.8,Verified,Node_Mumbai|Node_Bengaluru|Node_Chennai|Node_Delhi,80.0,SC-SUP006-DRG0300,No,2.07,0.0,2,3,0.0,24.0,0,0,0
1199,0xaeb50f07cf5ddf98340ba051ff6f23cc188584bc6000760ea4a3c98ab9c2f455,0xe3019336445aeb13e8f9ac05f3cea8e20d37482981b90373156b3a4974de221a,BAT000300,DRG0300,Methotrexate 50mg Injection,SUP006,Dispatch,Logistics_Manager,ACT7738,2024-09-17,Bengaluru Pharma Hub,2461,11028.8,Verified,Node_Delhi|Node_Mumbai|Node_Bengaluru|Node_Chennai|Node_Hyderabad,100.0,SC-SUP006-DRG0300,No,8.12,0.0,1,3,0.0,48.0,0,0,0
1200,0xb955c7a731fb22f073f5133643024aa7fb880d96073c1cd5110c636f070ac5a9,0xaeb50f07cf5ddf98340ba051ff6f23cc188584bc6000760ea4a3c98ab9c2f455,BAT000300,DRG0300,Methotrexate 50mg Injection,SUP006,Received,Distributor,ACT7583,2024-09-21,Ahmedabad Hub,2461,11028.8,Verified,Node_Chennai|Node_Hyderabad|Node_Delhi|Node_Bengaluru,80.0,SC-SUP006-DRG0300,No,1.65,0.0,1,3,0.0,96.0,0,0,0
1201,0x04e0ae62a946a64ac9ccac090f5e826801d0f15ee1d29460a36cc39890317310,0xb955c7a731fb22f073f5133643024aa7fb880d96073c1cd5110c636f070ac5a9,BAT000301,DRG0301,Cyclophosphamide 50mg,SUP001,Production,Manufacturer,ACT1606,2025-05-19,Mumbai Warehouse,4885,10591.17,Verified,Node_Mumbai|Node_Hyderabad|Node_Bengaluru|Node_Chennai,80.0,SC-SUP001-DRG0301,No,6.54,0.0,1,2,0.0,0.0,0,0,0
1202,0x2c48100543afa2141d249765be7551a34405c20056c7da802410e103d4fd689d,0x04e0ae62a946a64ac9ccac090f5e826801d0f15ee1d29460a36cc39890317310,BAT000301,DRG0301,Cyclophosphamide 50mg,SUP001,Quality_Check,QC_Inspector,ACT5751,2025-05-22,Ahmedabad Hub,4885,10591.17,Verified,Node_Mumbai|Node_Bengaluru|Node_Delhi|Node_Hyderabad|Node_Chennai,100.0,SC-SUP001-DRG0301,No,6.59,0.0,1,2,0.0,72.0,0,0,0
1203,0xdac78e3b3f849c3f377d3808fae1cd9430fa349371e655014cd737b16c22a6df,0x2c48100543afa2141d249765be7551a34405c20056c7da802410e103d4fd689d,BAT000301,DRG0301,Cyclophosphamide 50mg,SUP001,Dispatch,Logistics_Manager,ACT1418,2025-05-25,Delhi Cold Hub,4885,10591.17,Verified,Node_Bengaluru|Node_Mumbai|Node_Hyderabad|Node_Chennai,80.0,SC-SUP001-DRG0301,No,6.3,0.0,2,2,0.0,72.0,0,0,0
1204,0x79e46ad8d550faf41942b4b75fcfd0bbad0e1d04c8cc5ebc37916759527208e7,0xdac78e3b3f849c3f377d3808fae1cd9430fa349371e655014cd737b16c22a6df,BAT000301,DRG0301,Cyclophosphamide 50mg,SUP001,Received,Distributor,ACT1504,2025-05-27,Delhi Cold Hub,4885,10591.17,Verified,Node_Chennai|Node_Delhi|Node_Mumbai|Node_Hyderabad,80.0,SC-SUP001-DRG0301,No,7.68,0.0,1,2,0.0,48.0,0,0,0
1205,0xb99561e2dbe89ab2b6bb7e36a871be11f85a406309ff72c31d9e1504255b6f54,0x79e46ad8d550faf41942b4b75fcfd0bbad0e1d04c8cc5ebc37916759527208e7,BAT000302,DRG0302,5-Fluorouracil 250mg Injection,SUP017,Production,Manufacturer,ACT4390,2025-06-12,Pune Distribution,3152,4570.38,Verified,Node_Mumbai|Node_Bengaluru|Node_Delhi,60.0,SC-SUP017-DRG0302,No,2.78,0.0,1,2,0.0,0.0,1,0,0
1206,0xdd56d6fafa7302ce9f4c4c2a9ebd118a6b70bf57e8b5b4521dba3ffd474ada74,0xb99561e2dbe89ab2b6bb7e36a871be11f85a406309ff72c31d9e1504255b6f54,BAT000302,DRG0302,5-Fluorouracil 250mg Injection,SUP017,Quality_Check,QC_Inspector,ACT1637,2025-06-15,Delhi Cold Hub,3152,4570.38,Verified,Node_Hyderabad|Node_Mumbai|Node_Delhi|Node_Bengaluru,80.0,SC-SUP017-DRG0302,No,3.81,0.0,1,2,0.0,72.0,0,0,0
1207,0x23ebb2a04a0acdd0a19c8162e059dcc11657bef93a20875cb81bca9392e9dff5,0xdd56d6fafa7302ce9f4c4c2a9ebd118a6b70bf57e8b5b4521dba3ffd474ada74,BAT000302,DRG0302,5-Fluorouracil 250mg Injection,SUP017,Dispatch,Logistics_Manager,ACT6661,2025-06-19,Bengaluru Pharma Hub,3152,4570.38,Verified,Node_Bengaluru|Node_Hyderabad|Node_Mumbai,60.0,SC-SUP017-DRG0302,No,2.08,0.0,1,2,0.0,96.0,1,0,0
1208,0x9bd18d90c2ed0f44ae727fcfaf8e5fd5bfe63ceb009a20bc13b2c2ec92aa82e4,0x23ebb2a04a0acdd0a19c8162e059dcc11657bef93a20875cb81bca9392e9dff5,BAT000302,DRG0302,5-Fluorouracil 250mg Injection,SUP017,Received,Distributor,ACT2065,2025-06-23,Delhi Cold Hub,3152,4570.38,Verified,Node_Delhi|Node_Hyderabad|Node_Mumbai|Node_Bengaluru,80.0,SC-SUP017-DRG0302,No,2.09,0.0,2,2,0.0,96.0,0,0,0
1209,0x7bc4812f87067e90c9eeffdd98c03ec913556964e9cb3e36f2b2f64c3f6645a0,0x9bd18d90c2ed0f44ae727fcfaf8e5fd5bfe63ceb009a20bc13b2c2ec92aa82e4,BAT000303,DRG0303,Cisplatin 50mg Injection,SUP006,Production,Manufacturer,ACT4158,2025-07-21,Pune Distribution,1127,47.38,Verified,Node_Mumbai|Node_Chennai|Node_Delhi|Node_Hyderabad,80.0,SC-SUP006-DRG0303,No,4.28,0.0,1,3,0.0,0.0,0,0,0
1210,0xee99bbfb434f6ef7fb334bfe2d070e520d6ba3361bfd1b101d4a4c97041b27b3,0x7bc4812f87067e90c9eeffdd98c03ec913556964e9cb3e36f2b2f64c3f6645a0,BAT000303,DRG0303,Cisplatin 50mg Injection,SUP006,Quality_Check,QC_Inspector,ACT9174,2025-07-23,Ahmedabad Hub,1127,47.38,Verified,Node_Bengaluru|Node_Chennai|Node_Mumbai,60.0,SC-SUP006-DRG0303,No,6.3,0.0,2,3,0.0,48.0,1,0,0
1211,0x79f700fc1aa9739f05b63cc842bf6a088f82d851622ae7716ce4f94f92d88db5,0xee99bbfb434f6ef7fb334bfe2d070e520d6ba3361bfd1b101d4a4c97041b27b3,BAT000303,DRG0303,Cisplatin 50mg Injection,SUP006,Dispatch,Logistics_Manager,ACT3385,2025-07-26,Chennai Port,1127,47.38,Verified,Node_Hyderabad|Node_Delhi|Node_Chennai,60.0,SC-SUP006-DRG0303,No,5.18,0.0,1,3,0.0,72.0,1,0,0
1212,0x218fb08701019e4c0270e624a48b62466c98a706a428608ad24e95fdf14f92f0,0x79f700fc1aa9739f05b63cc842bf6a088f82d851622ae7716ce4f94f92d88db5,BAT000303,DRG0303,Cisplatin 50mg Injection,SUP006,Received,Distributor,ACT5925,2025-07-31,Kolkata Cold Chain,1127,47.38,Verified,Node_Chennai|Node_Hyderabad|Node_Bengaluru,60.0,SC-SUP006-DRG0303,No,6.6,0.0,1,3,0.0,120.0,1,0,0
1213,0x9373cb784d1638f9ddfa6920f7ef6d7de14eb470a11346d0bd156542fefe51e8,0x218fb08701019e4c0270e624a48b62466c98a706a428608ad24e95fdf14f92f0,BAT000304,DRG0304,Carboplatin 150mg Injection,SUP001,Production,Manufacturer,ACT1244,2025-03-17,Lucknow Store,4533,7439.09,Verified,Node_Chennai|Node_Delhi|Node_Mumbai|Node_Bengaluru|Node_Hyderabad,100.0,SC-SUP001-DRG0304,No,1.39,0.0,1,3,0.0,0.0,0,0,0
1214,0x4ae27f06fa5d86355ae27e519c98735666e2e0c7660e6b4bdf91add70ac243b0,0x9373cb784d1638f9ddfa6920f7ef6d7de14eb470a11346d0bd156542fefe51e8,BAT000304,DRG0304,Carboplatin 150mg Injection,SUP001,Quality_Check,QC_Inspector,ACT8400,2025-03-20,Delhi Cold Hub,4533,7439.09,Verified,Node_Mumbai|Node_Delhi|Node_Bengaluru|Node_Chennai|Node_Hyderabad,100.0,SC-SUP001-DRG0304,No,3.43,0.0,1,3,0.0,72.0,0,0,0
1215,0x5bdccc83f65e94278ac901a66ec7084c86698d82728916eaab48142e02e6decb,0x4ae27f06fa5d86355ae27e519c98735666e2e0c7660e6b4bdf91add70ac243b0,BAT000304,DRG0304,Carboplatin 150mg Injection,SUP001,Dispatch,Logistics_Manager,ACT5208,2025-03-24,Bengaluru Pharma Hub,4533,7439.09,Verified,Node_Delhi|Node_Bengaluru|Node_Chennai|Node_Mumbai|Node_Hyderabad,100.0,SC-SUP001-DRG0304,No,7.19,0.0,1,3,0.0,96.0,0,0,0
1216,0xbadb5578c091652b5f7726642e1bbc976f0d3490290612e141dd8f46f320185a,0x5bdccc83f65e94278ac901a66ec7084c86698d82728916eaab48142e02e6decb,BAT000304,DRG0304,Carboplatin 150mg Injection,SUP001,Received,Distributor,ACT8851,2025-03-27,Kolkata Cold Chain,4533,7439.09,Verified,Node_Chennai|Node_Hyderabad|Node_Bengaluru,60.0,SC-SUP001-DRG0304,No,4.07,0.0,3,3,0.0,72.0,1,0,0
1217,0xa935ea9a4738209397396447ae2bcfb9398db27af93ff2b7374e466996bea2d0,0xbadb5578c091652b5f7726642e1bbc976f0d3490290612e141dd8f46f320185a,BAT000305,DRG0305,Paclitaxel 300mg Injection,SUP014,Production,Manufacturer,ACT3222,2025-05-24,Ahmedabad Hub,1371,3416.14,Verified,Node_Hyderabad|Node_Delhi|Node_Chennai|Node_Mumbai|Node_Bengaluru,100.0,SC-SUP014-DRG0305,No,4.8,0.0,1,2,0.0,0.0,0,0,0
1218,0xe1b136e67e0a29806bf6795bd12830b59748cf0d0340dfbb4147f37a4378da8d,0xa935ea9a4738209397396447ae2bcfb9398db27af93ff2b7374e466996bea2d0,BAT000305,DRG0305,Paclitaxel 300mg Injection,SUP014,Quality_Check,QC_Inspector,ACT8463,2025-05-27,Bengaluru Pharma Hub,1371,3416.14,Verified,Node_Chennai|Node_Mumbai|Node_Hyderabad|Node_Delhi,80.0,SC-SUP014-DRG0305,Yes,6.25,0.0,1,2,0.0,72.0,0,0,1
1219,0x2ee29c2cbebec3edb1f020c4a8481dc44a4dc28a8d4557a46fb33f370c351e44,0xe1b136e67e0a29806bf6795bd12830b59748cf0d0340dfbb4147f37a4378da8d,BAT000305,DRG0305,Paclitaxel 300mg Injection,SUP014,Dispatch,Logistics_Manager,ACT4655,2025-05-31,Pune Distribution,1371,3416.14,Verified,Node_Bengaluru|Node_Mumbai|Node_Chennai|Node_Hyderabad|Node_Delhi,100.0,SC-SUP014-DRG0305,No,1.91,0.0,1,2,0.0,96.0,0,0,0
1220,0x92a433fe95227b9790ad26b7b2b2f94334e47779ec213939a9592447e495282d,0x2ee29c2cbebec3edb1f020c4a8481dc44a4dc28a8d4557a46fb33f370c351e44,BAT000305,DRG0305,Paclitaxel 300mg Injection,SUP014,Received,Distributor,ACT3953,2025-06-02,Ahmedabad Hub,1371,3416.14,Verified,Node_Delhi|Node_Hyderabad|Node_Chennai|Node_Mumbai|Node_Bengaluru,100.0,SC-SUP014-DRG0305,No,1.32,0.0,2,2,0.0,48.0,0,0,0
1221,0x254b0e88530aab8998157bfd02d69861539f5f8f2ec55fe87feb8902c10f17b2,0x92a433fe95227b9790ad26b7b2b2f94334e47779ec213939a9592447e495282d,BAT000306,DRG0306,Docetaxel 80mg Injection,SUP014,Production,Manufacturer,ACT7572,2025-09-13,Delhi Cold Hub,2448,1618.88,Verified,Node_Chennai|Node_Hyderabad|Node_Bengaluru,60.0,SC-SUP014-DRG0306,No,2.01,0.0,1,3,0.0,0.0,1,0,0
1222,0x16964abf9cceeb68d401de2f974c0a903fac0cfb4d3717b13000de53c30b8c76,0x254b0e88530aab8998157bfd02d69861539f5f8f2ec55fe87feb8902c10f17b2,BAT000306,DRG0306,Docetaxel 80mg Injection,SUP014,Quality_Check,QC_Inspector,ACT4921,2025-09-14,Kolkata Cold Chain,2448,1618.88,Verified,Node_Mumbai|Node_Delhi|Node_Bengaluru|Node_Hyderabad|Node_Chennai,100.0,SC-SUP014-DRG0306,No,2.78,0.0,1,3,0.0,24.0,0,0,0
1223,0x9fabdaf9ea12e8e617d9573bedfcc0614b37021e46efdfaedb94866c885af1eb,0x16964abf9cceeb68d401de2f974c0a903fac0cfb4d3717b13000de53c30b8c76,BAT000306,DRG0306,Docetaxel 80mg Injection,SUP014,Dispatch,Logistics_Manager,ACT4387,2025-09-18,Ahmedabad Hub,2448,1618.88,Verified,Node_Chennai|Node_Bengaluru|Node_Mumbai,60.0,SC-SUP014-DRG0306,No,6.33,0.0,1,3,0.0,96.0,1,0,0
1224,0x8b3696bdabe9fd05c99ae30700de2004983f9d8df9326abdbc248db41f7b240b,0x9fabdaf9ea12e8e617d9573bedfcc0614b37021e46efdfaedb94866c885af1eb,BAT000306,DRG0306,Docetaxel 80mg Injection,SUP014,Received,Distributor,ACT6803,2025-09-23,Mumbai Warehouse,2448,1618.88,Verified,Node_Chennai|Node_Mumbai|Node_Bengaluru,60.0,SC-SUP014-DRG0306,No,7.27,0.0,1,3,0.0,120.0,1,0,0
1225,0x080496502e449e2dd400a99abb7c7095c3e488df4efcb16b1a8ec81bc858ae6a,0x8b3696bdabe9fd05c99ae30700de2004983f9d8df9326abdbc248db41f7b240b,BAT000307,DRG0307,Doxorubicin 50mg Injection,SUP010,Production,Manufacturer,ACT6909,2024-09-09,Kolkata Cold Chain,2642,6307.07,Verified,Node_Chennai|Node_Mumbai|Node_Delhi,60.0,SC-SUP010-DRG0307,No,8.23,0.0,2,3,0.0,0.0,1,0,0
1226,0x42d7a87e2b63e79169f220532e0e1f71592394e3bf1044fe93309f348eadcdc4,0x080496502e449e2dd400a99abb7c7095c3e488df4efcb16b1a8ec81bc858ae6a,BAT000307,DRG0307,Doxorubicin 50mg Injection,SUP010,Quality_Check,QC_Inspector,ACT5717,2024-09-10,Pune Distribution,2642,6307.07,Verified,Node_Delhi|Node_Bengaluru|Node_Mumbai,60.0,SC-SUP010-DRG0307,No,4.06,0.0,1,3,0.0,24.0,1,0,0
1227,0x431c3e593d16ccaeef7513383c42f8142868b45ff5d5f4e2a0f436f6092dbbec,0x42d7a87e2b63e79169f220532e0e1f71592394e3bf1044fe93309f348eadcdc4,BAT000307,DRG0307,Doxorubicin 50mg Injection,SUP010,Dispatch,Logistics_Manager,ACT1693,2024-09-15,Chennai Port,2642,6307.07,Verified,Node_Hyderabad|Node_Mumbai|Node_Bengaluru|Node_Chennai,80.0,SC-SUP010-DRG0307,No,4.88,0.0,1,3,0.0,120.0,0,0,0
1228,0xc0eb90bdab50d6c881f99b591bbd1b28dae1ef53c5d2d6161728e6ef4aff457c,0x431c3e593d16ccaeef7513383c42f8142868b45ff5d5f4e2a0f436f6092dbbec,BAT000307,DRG0307,Doxorubicin 50mg Injection,SUP010,Received,Distributor,ACT9082,2024-09-16,Delhi Cold Hub,2642,6307.07,Verified,Node_Bengaluru|Node_Mumbai|Node_Hyderabad|Node_Chennai|Node_Delhi,100.0,SC-SUP010-DRG0307,No,3.24,0.0,3,3,0.0,24.0,0,0,0
1229,0x3973225210a8adc60f9de50e83b2ac663e25900564f3eb77e86818b61cdad2d4,0xc0eb90bdab50d6c881f99b591bbd1b28dae1ef53c5d2d6161728e6ef4aff457c,BAT000308,DRG0308,Imatinib 100mg,SUP001,Production,Manufacturer,ACT1665,2024-08-01,Ahmedabad Hub,1016,9595.77,Verified,Node_Delhi|Node_Hyderabad|Node_Chennai|Node_Mumbai,80.0,SC-SUP001-DRG0308,No,1.97,0.0,2,2,0.0,0.0,0,0,0
